anomaly_id,anomaly_category,anomaly_type,station_names,event_start,event_end,affected_feature,severity,affected_rows,removed_rows,added_rows,description,removed_record_json
SF_SPIKE_0001,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,2021-04-28,2021-04-28,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0002,SENSOR_FAULT,SUDDEN_SPIKE,Coimbatore / Peelamedu,2023-07-15,2023-07-15,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0003,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,2021-02-28,2021-02-28,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0004,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,2022-02-12,2022-02-12,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0005,SENSOR_FAULT,SUDDEN_SPIKE,Thrissur,2024-08-14,2024-08-14,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0006,SENSOR_FAULT,SUDDEN_SPIKE,Coimbatore / Peelamedu,2022-02-04,2022-02-04,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0007,SENSOR_FAULT,SUDDEN_SPIKE,Car Nicobar,2022-09-05,2022-09-05,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0008,SENSOR_FAULT,SUDDEN_SPIKE,Shimla / Kanda,2022-01-02,2022-01-02,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0009,SENSOR_FAULT,SUDDEN_SPIKE,Palakkad,2021-07-17,2021-07-17,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0010,SENSOR_FAULT,SUDDEN_SPIKE,Ambala,2022-08-25,2022-08-25,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0011,SENSOR_FAULT,SUDDEN_SPIKE,Shimla / Kanda,2022-09-22,2022-09-22,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0012,SENSOR_FAULT,SUDDEN_SPIKE,Una,2023-03-07,2023-03-07,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0013,SENSOR_FAULT,SUDDEN_SPIKE,Thrissur,2024-04-20,2024-04-20,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0014,SENSOR_FAULT,SUDDEN_SPIKE,Una,2022-06-13,2022-06-13,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0015,SENSOR_FAULT,SUDDEN_SPIKE,Ambala,2022-01-05,2022-01-05,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0016,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,2024-07-08,2024-07-08,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0017,SENSOR_FAULT,SUDDEN_SPIKE,Mandi,2024-05-30,2024-05-30,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0018,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,2024-03-08,2024-03-08,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0019,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,2024-10-11,2024-10-11,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0020,SENSOR_FAULT,SUDDEN_SPIKE,Coimbatore / Peelamedu,2021-08-20,2021-08-20,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0021,SENSOR_FAULT,SUDDEN_SPIKE,Car Nicobar,2025-02-04,2025-02-04,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0022,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,2021-02-01,2021-02-01,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0023,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,2022-11-04,2022-11-04,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0024,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,2024-01-02,2024-01-02,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0025,SENSOR_FAULT,SUDDEN_SPIKE,Mandi,2023-05-25,2023-05-25,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0026,SENSOR_FAULT,SUDDEN_SPIKE,Thrissur,2021-09-07,2021-09-07,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0027,SENSOR_FAULT,SUDDEN_SPIKE,Ambala,2021-10-09,2021-10-09,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0028,SENSOR_FAULT,SUDDEN_SPIKE,Ludhiana,2022-02-15,2022-02-15,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0029,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,2023-06-12,2023-06-12,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0030,SENSOR_FAULT,SUDDEN_SPIKE,Palakkad,2021-07-24,2021-07-24,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0031,SENSOR_FAULT,SUDDEN_SPIKE,Thrissur,2024-01-02,2024-01-02,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0032,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,2021-01-17,2021-01-17,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0033,SENSOR_FAULT,SUDDEN_SPIKE,Thrissur,2022-07-14,2022-07-14,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0034,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,2023-08-31,2023-08-31,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0035,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,2023-05-24,2023-05-24,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0036,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,2024-06-12,2024-06-12,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0037,SENSOR_FAULT,SUDDEN_SPIKE,Cochin Int. Airport / Kaladi,2023-07-12,2023-07-12,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0038,SENSOR_FAULT,SUDDEN_SPIKE,Shimla / Kanda,2023-06-08,2023-06-08,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0039,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,2022-08-12,2022-08-12,avg_temp,medium,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_SPIKE_0040,SENSOR_FAULT,SUDDEN_SPIKE,Mandi,2021-10-22,2021-10-22,avg_temp,high,1,0,0,"The average temperature suddenly increased for one observation beyond its expected local pattern, simulating a faulty sensor spike.",
SF_DROP_0041,SENSOR_FAULT,SUDDEN_DROP,Ambala,2021-12-21,2021-12-21,avg_temp,medium,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0042,SENSOR_FAULT,SUDDEN_DROP,Coimbatore / Peelamedu,2023-02-14,2023-02-14,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
SF_DROP_0043,SENSOR_FAULT,SUDDEN_DROP,Sundernagar / Sundarnagar,2023-06-07,2023-06-07,avg_temp,high,1,0,0,"The average temperature suddenly decreased for one observation beyond its expected local pattern, simulating a faulty sensor drop.",
